codigo;nombre;descripcion;familia;familiaNombre;subcategoria;subcategoriaNombre;marcas;medidas;foto;descontinuado
2117152;Cabezal  Logbelts Repl chinas-  Echo 2300/4300/4605 Paso 10X1.25 FLH;Para desmalezadoras Chinas- Repl Echo 2300/4300/4605 Paso 10X1.25 FLH;;;;;;;;no
2120053;Arnes Logbelts;Arnes para altas jornadas de trabajo;arnes;Arnes;desmalezadora;Desmalezadora;logbelts;;https://gceymxcsmyxlzlpuzzzp.supabase.co/storage/v1/object/public/media/foto/2120053-1788967721111.jpg;no
2911001;Walbro 188 11 Diam. 18,5X10,5 mm;Walbro 188 11 Diam. 18,5X10,5 mm;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911001.jpg;no
2911002;Walbro 188 12 Diam. 18,5X15,5 mm Echo/Sithl/Shind.WYJ/WYL;Walbro 188 12 Diam. 18,5X15,5 mm Echo/Sithl/Shind.WYJ/WYL;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911002.jpg;no
2911003;Walbro HDA WYK 118 13 Diam 23,5 16 mm;Walbro HDA WYK 118 13 Diam 23,5 16 mm;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911003.jpg;no
2911004;Zama 57004 Diam. 21,7X18,7 Stihl/Homelite/Mc Culloch;Zama 57004 Diam. 21,7X18,7 Stihl/Homelite/Mc Culloch;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911004.jpg;no
2911005;Zama C1U 0057025 Diam 21,7 18,7 mm;Zama C1U 0057025 Diam 21,7 18,7 mm;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911005.jpg;no
2911006;Bombines;Walbro 188-512 Clip · Stihl/Echo/Chinas;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911006.jpg;no
2911007;Walbro 188 513 Tornillo Poulan CARBUF;Walbro 188 513 Tornillo Poulan CARBUF;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911007.jpg;no
2911008;Stihl FS 450 0000 350 6201;Stihl FS 450 0000 350 6201;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911008.jpg;no
2911009;Stihl Motoguadañas 1130 350 6200;Stihl Motoguadañas 1130 350 6200;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911009.jpg;no
2911010;Stihl Motoguadañas 0000 350 6202;Stihl Motoguadañas 0000 350 6202;carburacion;Carburación;bombines-2t;Bombines 2T;;;2911010.jpg;no
4311520;CCOODDIIGGOO;MTD 951 10639;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311520.jpg;no
4311521;CCOODDIIGGOO;B&S 793382;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311521.jpg;no
4311522;CCOODDIIGGOO;Sensei 6,8hp;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311522.jpg;no
4311523;CCOODDIIGGOO;Kawasaki 49043 2065;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311523.jpg;no
4311524;Briggs 8 Stratton 300E 450E;Briggs 8 Stratton 300E 450E;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311524.jpg;no
4311526;CCOODDIIGGOO;B&S 494408 · 3,5hp/4hp;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311526.jpg;no
4311527;CCOODDIIGGOO;B&S 496115 · 5hp/5,5hp/6hp;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311527.jpg;no
4311528;Bombin Motores;Bombin Motores;carburacion;Carburación;bombines-2t;Bombines 2T;;;4311528.jpg;no
2114050;Tanque de combustible / tapa;Universal máquinas chinas · 20 mm;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114050.jpg;no
2114051;Tanque de combustible / tapa;Universal máquinas chinas · 21,5 mm;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114051.jpg;no
2114052;Tanque de combustible / tapa;Echo 132115-046730 · 17,4 mm;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114052.jpg;no
2114053;Tanque de combustible / tapa;Echo 132115-04920;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114053.jpg;no
2114054;Tanque de combustible / tapa;Universal máquinas chinas · Echo / Stihl · 20.5 mm;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114054.jpg;no
2114055;Tanque de combustible / tapa;Echo / Stihl · 132115-04921;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;2114055.jpg;no
4720519;BUJES PASAMANGUERA;BUJES PASAMANGUERA;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4720519.jpg;no
4923484;Llave de paso;Llave comb. minitractores · B&S 399517;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4923484.jpg;no
4923485;Llave de paso;Llave comb. minitractores · B&S 698183;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4923485.jpg;no
4923487;Llave de paso;Llave combustible · Grupos Chinos Macho;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4923487.jpg;no
4923488;Llave de paso;Llave combustible · Grupos Chinos Macho;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4923488.jpg;no
4923489;Llave de paso;Llave combustible · Grupos Chinos Hembra;carburacion;Carburación;llaves-pases-de-combustible;Llaves pases de combustible;;;4923489.jpg;no
2121061;Mangueras;Manguera Comb · Stihl FS 38-55;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2121061.jpg;no
2121062;Mangueras;Manguera Comb REPL · Stihl FS 120/250/450;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2121062.jpg;no
2220093;Partes;Brida De Admisión · REPL ST MS 170/180;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2220093.jpg;no
2220094;Partes;Brida De Admisión · REPL ST MS 210/230;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2220094.jpg;no
2220097;Partes;Brida De Admisión · REPL ST MS 381/382;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2220097.jpg;no
2220098;Partes;Brida De Admisión · REPL HUS 365/372;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2220098.jpg;no
2221610;Mangueras;Mangueras Motosierras · Sthil MS 170/180;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221610.jpg;no
2221611;Mangueras;Mangueras Motosierras · Sthil MS 230/250;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221611.jpg;no
2221614;Mangueras;Mangueras Motosierras · Sthil MS 380/381;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221614.jpg;no
2221615;Mangueras;Manguera Comb REPL · Stihl MS 290/360;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221615.jpg;no
2221616;Mangueras;Manguera Comb REPL · Stihl MS 260/280;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221616.jpg;no
2221617;Mangueras;Manguera Comb REPL · Stihl MS 341/460;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221617.jpg;no
2221618;Mangueras;Manguera Comb REPL · Stihl MS 381;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221618.jpg;no
2221620;Mangueras;Chinas 45/52;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221620.jpg;no
2221621;Mangueras;Manguera Comb · MS230 MS250;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221621.jpg;no
2221622;Mangueras;Manguera Comb Doble · REPL 38CC;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2221622.jpg;no
2921012;Mangueras Carburacion Motosierra repl Zenoah 6200;Motosierra repl Zenoah 6200;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;Zenoah;;https://gceymxcsmyxlzlpuzzzp.supabase.co/storage/v1/object/public/media/foto/2921012-1788970087245.webp;no
2921015;Mangueras;Manguera de Aceite · MS170 MS180;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921015.jpg;no
2921016;Mangueras;Manguera de Aceite · MS230 MS250;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921016.jpg;no
2921017;BRIDAS DE ADMISIÓN;BRIDAS DE ADMISIÓN;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921017.jpg;no
2921019;Mangueras;Manguera De Aceite REPL · Stihl MS 240/260;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921019.jpg;no
2921021;Mangueras;Manguera De Aceite REPL · Stihl MS 380/381;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921021.jpg;no
2921023;MANGUERA DE ACEITE;MANGUERA DE ACEITE;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921023.jpg;no
2921026;Mangueras;Manguera De Aceite REPL · Husqvarna 335/350;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921026.jpg;no
2921028;Mangueras;Manguera De Aceite REPL · Husqvarna 435/445/445E;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921028.jpg;no
2921031;Manguera de combustible negra 4 mm…;Manguera de combustible negra 4 mm…;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;4 mm;;no
2921032;Manguera de combustible negra 6 mm…;Manguera de combustible negra 6 mm…;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;6 mm;;no
2921040;Mangueras;Manguera Hidrocarburos · Diam. 2.00 mm (15mts);carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921040.jpg;no
2921041;Mangueras;Manguera Hidrocarburos · Diam. 2.25 mm (15mts);carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921041.jpg;no
2921042;Mangueras;Manguera Hidrocarburos · Diam. 2.75 mm (15mts);carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921042.jpg;no
2921043;Mangueras;Manguera Hidrocarburos · Diam. 3,25 mm (15mts);carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921043.jpg;no
2921044;Mangueras;Manguera Hidrocarburos · Diam. 4,50 mm (5mts);carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921044.jpg;no
2921045;MANGUERA DE;MANGUERA DE;carburacion;Carburación;mangueras-de-combustible;Mangueras de combustible;;;2921045.jpg;no
2101001;Walbro 9 x 2,8mm Walbro 9 x 2,8 mm;Walbro 9 x 2,8mm Walbro 9 x 2,8 mm;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Walbro;2,8mm | 2,8 mm;2101001.jpg;no
2101002;Zama 16,5 x 3,5mm Zama 16,5 x 3,5 mm 4 TIEMPOS;Zama 16,5 x 3,5mm Zama 16,5 x 3,5 mm 4 TIEMPOS;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Zama;3,5mm | 3,5 mm;2101002.jpg;no
4301551;Briggs & Stratton 394681 Briggs & Stratton 394681 18 hp vertical horizon;Briggs & Stratton 394681 Briggs & Stratton 394681 18 hp vertical horizontal 18 HP Vertical Horizontal;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;4301551.jpg;no
4301552;Briggs & Stratton 715075 Briggs & Stratton 715075 4,5/5,5/6 hp 4,5/5,5/6;Briggs & Stratton 715075 Briggs & Stratton 715075 4,5/5,5/6 hp 4,5/5,5/6 HP;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;4301552.jpg;no
4301553;Briggs & Stratton 715155 Briggs & Stratton 715155 18 hp horizontal 18 HP;Briggs & Stratton 715155 Briggs & Stratton 715155 18 hp horizontal 18 HP Horizontal;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;4301553.jpg;no
4301554;Briggs & Stratton 398188 Briggs & Stratton 398188 3,5/5/6 hp 3,5/5/6 HP;Briggs & Stratton 398188 Briggs & Stratton 398188 3,5/5/6 hp 3,5/5/6 HP;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;4301554.jpg;no
4301555;Briggs & Stratton 398188 Briggs & Stratton 398188 8/12 hp vertical 8/12;Briggs & Stratton 398188 Briggs & Stratton 398188 8/12 hp vertical 8/12 HP Vertical;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;4301555.jpg;no
4301556;Honda 16011-ZA0-931 GX340/390 (20,3 x 4,2 mm);Honda 16011-ZA0-931 GX340/390 (20,3 x 4,2 mm);carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Honda;4,2 mm;4301556.jpg;no
4301557;Honda 16011-ZEO-005 G100/150/200 (12 x 3,5 mm);Honda 16011-ZEO-005 G100/150/200 (12 x 3,5 mm);carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Honda;3,5 mm;4301557.jpg;no
4301558;CODIGO 43001559 CODIGO;Honda 5,5/6hp GX110/120;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Honda;;4301558.jpg;no
4301560;Honda Motores Chinos 13/15hp horizontal ET950/TG950 11,5 x 3 mm;Honda Motores Chinos 13/15hp horizontal ET950/TG950 11,5 x 3 mm;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Honda;3 mm;;no
4301561;S018021 Honda GCV160;S018021 Honda GCV160;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Honda;;4301561.jpg;no
4301562;Briggs & Stratton 594581;Briggs & Stratton 594581;carburacion;Carburación;punzuares-de-carburador;Punzuares de carburador;Briggs & Stratton;;;no
2101003;Valvula Check Walbro WYJ;Valvula Check Walbro WYJ;carburacion;Carburación;valvulas;Válvulas;;;2101003.jpg;no
2101004;Valvula Venteo Echo 131300 56430;Valvula Venteo Echo 131300 56430;carburacion;Carburación;valvulas;Válvulas;;;2101004.jpg;no
2101005;Difusor bronce Walbro;Difusor bronce Walbro;carburacion;Carburación;valvulas;Válvulas;;;2101005.jpg;no
2201007;Valvula Venteo;Valvula Venteo REPL- MS360 MS380 MS460;carburacion;Carburación;valvulas;Válvulas;;;2201007.jpg;no
2201008;Valvula Venteo T Aceite;Valvula Venteo T Aceite Repl MS 210 250 360;carburacion;Carburación;valvulas;Válvulas;;;2201008.jpg;no
2201009;Valvula Descompresion;Valvula Descompresion Repl Ms 360 381 Fs 450;carburacion;Carburación;valvulas;Válvulas;;;2201009.jpg;no
2201010;Valvula Descompresion;Valvula Descompresion Repl TS 420 700 DE COMBUSTIBLE;carburacion;Carburación;valvulas;Válvulas;;;2201010.jpg;no
2201011;Valvula Descompresion;Valvula Descompresion Repl Hus 55 365 372;carburacion;Carburación;valvulas;Válvulas;;;2201011.jpg;no
2906001;Filtro de combustible;Universal baja cilindrada · ZF1;carburacion;Carburación;valvulas;Válvulas;;;https://gceymxcsmyxlzlpuzzzp.supabase.co/storage/v1/object/public/media/foto/2906001-1788967252452.webp;no
